Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
1680.0000,-1.7608325420e+00,1.5599051315e+01,2.1215236823e+00,-3.7111772885e-03,6.5140538480e-03,2.8546307378e-03
1690.0000,-1.7979934397e+00,1.5663873929e+01,2.1500964462e+00,-3.7208912651e-03,6.4504098246e-03,2.8598292314e-03
1700.0000,-1.8352481332e+00,1.5728058347e+01,2.1787184012e+00,-3.7299350710e-03,6.3864165401e-03,2.8644680856e-03
1710.0000,-1.8725898791e+00,1.5791601135e+01,2.2073839240e+00,-3.7383004000e-03,6.3220857572e-03,2.8685418879e-03
1720.0000,-1.9100118516e+00,1.5854498977e+01,2.2360873372e+00,-3.7459790540e-03,6.2574294218e-03,2.8720453409e-03
1730.0000,-1.9475071435e+00,1.5916748678e+01,2.2648229116e+00,-3.7529629461e-03,6.1924596618e-03,2.8749732641e-03
1740.0000,-1.9850687671e+00,1.5978347166e+01,2.2935848664e+00,-3.7592441026e-03,6.1271887842e-03,2.8773205950e-03
1750.0000,-2.0226896560e+00,1.6039291492e+01,2.3223673709e+00,-3.7648146653e-03,6.0616292732e-03,2.8790823914e-03
1760.0000,-2.0603626652e+00,1.6099578831e+01,2.3511645457e+00,-3.7696668936e-03,5.9957937882e-03,2.8802538324e-03
1770.0000,-2.0980805735e+00,1.6159206490e+01,2.3799704636e+00,-3.7737931674e-03,5.9296951617e-03,2.8808302204e-03
1780.0000,-2.1358360837e+00,1.6218171901e+01,2.4087791513e+00,-3.7771859887e-03,5.8633463967e-03,2.8808069823e-03
1790.0000,-2.1736218243e+00,1.6276472628e+01,2.4375845900e+00,-3.7798379842e-03,5.7967606644e-03,2.8801796713e-03
1800.0000,-2.2114303506e+00,1.6334106369e+01,2.4663807175e+00,-3.7817419075e-03,5.7299513024e-03,2.8789439685e-03
1810.0000,-2.2492541462e+00,1.6391070954e+01,2.4951614284e+00,-3.7828906410e-03,5.6629318116e-03,2.8770956840e-03
1820.0000,-2.2870856237e+00,1.6447364351e+01,2.5239205764e+00,-3.7832771986e-03,5.5957158546e-03,2.8746307585e-03
1830.0000,-2.3249171270e+00,1.6502984663e+01,2.5526519753e+00,-3.7828947272e-03,5.5283172526e-03,2.8715452650e-03
1840.0000,-2.3627409325e+00,1.6557930134e+01,2.5813494006e+00,-3.7817365092e-03,5.4607499838e-03,2.8678354098e-03
1850.0000,-2.4005492495e+00,1.6612199147e+01,2.6100065901e+00,-3.7797959648e-03,5.3930281798e-03,2.8634975343e-03
1860.0000,-2.4383342225e+00,1.6665790230e+01,2.6386172461e+00,-3.7770666535e-03,5.3251661239e-03,2.8585281159e-03
1870.0000,-2.4760879323e+00,1.6718702050e+01,2.6671750360e+00,-3.7735422769e-03,5.2571782482e-03,2.8529237699e-03
